"sample_number","unknown_ratios","unknown_counts","total_counts","iteration"
35,0.881987425291679,107875,122309,6
35,0.888654302140514,109436,123148,7
35,0.882656216053612,105631,119674,8
35,0.883418400102722,110081,124608,9
35,0.881281876630173,106094,120386,10
35,0.884188054537085,111413,126006,11
35,0.884586746090841,112860,127585,12
35,0.883806734055239,110429,124947,13
35,0.884363973853281,110534,124987,14
35,0.88187081246341,108456,122984,15
35,0.878814276048714,103911,118240,16
35,0.8793808070193,105436,119898,17
35,0.878881882575694,103977,118306,18
35,0.882859830367961,110753,125448,19
35,0.880916693286155,107552,122091,20
35,0.880707639933235,106585,121022,21
35,0.881050507837423,102186,115982,22
35,0.882179378359808,109130,123705,23
35,0.888813564544831,115376,129809,24
35,0.881843088418431,106218,120450,25
35,0.876004582532969,101698,116093,26
35,0.884842996608123,111392,125889,27
35,0.879007503410641,103090,117280,28
35,0.884300866969418,111383,125956,29
35,0.878370163617216,102591,116797,30
35,0.882393184668762,108342,122782,31
35,0.884690455135712,111049,125523,32
35,0.880255184459332,107348,121951,33
35,0.875650470288911,98776,112803,34
35,0.881927413381615,107163,121510,35
35,0.879713914174252,101475,115350,36
35,0.881101753529436,108283,122895,37
35,0.88167501211436,109169,123820,38
35,0.88268730874272,107303,121564,39
35,0.879010161222439,102337,116423,40
35,0.875919847987563,101414,115780,41
35,0.874043656405236,96421,110316,42
35,0.881484873928199,103935,117909,43
35,0.882313149645273,106954,121220,44
35,0.882119642167589,109651,124304,45
35,0.882490291106332,109983,124628,46
35,0.884982987936901,114446,129320,47
35,0.863703791026888,87919,101793,48
35,0.872652501713502,95490,109425,49
35,0.883238618324973,111281,125992,50
35,0.883432112927381,110899,125532,51
35,0.878171073837522,102984,117271,52
35,0.885667829625211,108396,122389,53
35,0.881064200444755,109748,124563,54
35,0.880048074970968,108370,123141,55
35,0.884184161247758,111905,126563,56
35,0.885879902182773,107591,121451,57
35,0.887146079070827,112892,127253,58
35,0.88251661895483,110056,124707,59
35,0.885142915331772,113000,127663,60
35,0.878146248359776,103061,117362,61
35,0.88308729493271,104267,118071,62
35,0.882656294559397,111423,126236,63
35,0.883455944699717,109401,123833,64
35,0.88481149750587,111926,126497,65
35,0.885067800690043,110306,124630,66
35,0.88595609799933,108449,122409,67
35,0.886447811447811,115841,130680,68
35,0.886899708949794,117014,131936,69
35,0.882928032201354,110992,125709,70
35,0.874963341211379,101438,115934,71
35,0.878077709267406,104385,118879,72
35,0.884568813687256,112503,127184,73
35,0.88085759066641,105096,119311,74
35,0.877741237269082,104625,119198,75
35,0.877657759120849,102865,117204,76
35,0.883099160206718,109363,123840,77
35,0.882347194633495,108384,122836,78
35,0.881359546599083,107458,121923,79
35,0.888601325093967,111587,125576,80
35,0.871326435294963,97010,111336,81
35,0.88222550549487,106287,120476,82
35,0.874250547811087,93759,107245,83
35,0.874052812858783,98969,113230,84
35,0.883898744269484,110863,125425,85
35,0.884935069078842,110939,125364,86
35,0.882483513467701,109330,123889,87
35,0.88742152312057,116049,130771,88
35,0.876351872083471,103477,118077,89
35,0.882347041961607,105579,119657,90
35,0.879583374962534,105645,120108,91
35,0.884257251661634,112153,126833,92
35,0.878204908773491,102620,116852,93
35,0.874282944882584,99218,113485,94
