EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
1.4.9.1,89,0,89,100,6727,0,6727,100,312,1
1.4.9.2,1,0,1,100,653,0,653,100,196,1
1.4.99.5,3,0,3,100,274,0,274,100,141,1
1.5.1.10,3,2,1,33.33333333,4862,2030,2832,58.24763472,315,1
1.5.1.16,2,0,2,100,686,0,686,100,148,1
1.5.1.19,2,0,2,100,165,0,165,100,124,1
1.5.1.2,71,2,69,97.18309859,20165,796,19369,96.05256633,342,1
1.5.1.20,26,0,26,100,12462,0,12462,100,321,1
1.5.1.24,3,0,3,100,169,0,169,100,124,1
1.5.1.3,94,2,92,97.87234043,19378,12,19366,99.9380741,325,1
1.5.1.30,2,0,2,100,23,0,23,100,23,1
1.5.1.33,3,0,3,100,193,0,193,100,102,1
1.5.1.36,29,1,28,96.55172414,7303,2636,4667,63.90524442,335,1
1.5.1.37,1,0,1,100,22,0,22,100,20,1
1.5.1.38,3,1,2,66.66666667,626,161,465,74.28115016,199,1
1.5.1.39,5,0,5,100,124,0,124,100,85,1
1.5.1.40,6,0,6,100,949,0,949,100,212,1
1.5.1.41,1,0,1,100,218,0,218,100,136,1
1.5.1.43,1,1,0,0,1702,1702,0,0,290,1
1.5.1.44,1,0,1,100,4,0,4,100,4,1
1.5.1.47,2,0,2,100,56,0,56,100,54,1
1.5.1.49,5,0,5,100,8556,0,8556,100,335,1
1.5.1.5,17,0,17,100,4885,0,4885,100,325,1
1.5.1.50,1,0,1,100,648,0,648,100,216,1
1.5.1.7,2,0,2,100,1163,0,1163,100,256,1
1.5.1.8,1,0,1,100,90,0,90,100,65,1
1.5.3.1,17,0,17,100,26098,0,26098,100,344,1
1.5.3.10,3,0,3,100,1051,0,1051,100,259,1
1.5.3.16,1,0,1,100,15,0,15,100,13,1
1.5.3.17,5,0,5,100,211,0,211,100,134,1
1.5.3.18,1,0,1,100,226,0,226,100,94,1
1.5.3.19,20,0,20,100,7506,0,7506,100,324,1
1.5.3.21,1,0,1,100,23,0,23,100,20,1
1.5.3.7,1,0,1,100,251,0,251,100,70,1
1.5.5.1,23,10,13,56.52173913,28489,25732,2757,9.677419355,348,1
1.5.5.2,70,0,70,100,15895,0,15895,100,330,1
1.5.8.2,2,1,1,50,5910,2384,3526,59.66159052,305,1
1.5.8.3,1,0,1,100,37,0,37,100,32,1
1.5.98.1,2,0,2,100,13,0,13,100,13,1
1.5.99.12,7,0,7,100,313,0,313,100,95,1
1.5.99.14,29,0,29,100,15274,0,15274,100,309,1
1.6.1.1,2,2,0,0,2167,2167,0,0,277,1
1.6.3.5,37,1,36,97.2972973,5971,159,5812,97.33712946,299,1
1.6.5.10,13,0,13,100,1740,0,1740,100,254,1
1.6.5.2,11,3,8,72.72727273,592,274,318,53.71621622,226,1
1.6.5.4,13,0,13,100,738,0,738,100,247,1
1.6.5.5,21,0,21,100,4656,0,4656,100,316,1
1.6.5.9,73,1,72,98.63013699,15004,3137,11867,79.09224207,342,1
1.6.99.1,30,0,30,100,9643,0,9643,100,323,1
1.7.1.13,12,9,3,25,5446,4781,665,12.21079692,316,1
1.7.1.15,1,0,1,100,714,0,714,100,209,1
1.7.1.16,1,0,1,100,334,0,334,100,135,1
1.7.1.17,8,0,8,100,3039,0,3039,100,310,1
1.7.1.3,1,0,1,100,154,0,154,100,61,1
1.7.1.4,4,1,3,75,1066,520,546,51.2195122,235,1
1.7.1.7,30,15,15,50,28356,17065,11291,39.81873325,350,1
1.7.2.1,34,4,30,88.23529412,6573,1278,5295,80.55682337,323,1
1.7.2.2,14,1,13,92.85714286,914,40,874,95.62363239,220,1
1.7.2.3,5,2,3,60,3728,921,2807,75.29506438,289,1
1.7.2.4,2,2,0,0,394,394,0,0,148,1
1.7.2.5,13,5,8,61.53846154,1880,747,1133,60.26595745,246,1
1.7.2.6,20,0,20,100,1052,0,1052,100,213,1
1.7.2.7,35,0,35,100,3417,0,3417,100,293,1
1.7.2.8,14,0,14,100,1437,0,1437,100,239,1
1.7.3.3,3,0,3,100,274,0,274,100,145,1
1.7.5.1,20,5,15,75,6270,2511,3759,59.95215311,323,1
1.7.7.1,6,0,6,100,4200,0,4200,100,321,1
1.7.7.2,2,0,2,100,190,0,190,100,100,1
1.7.99.1,1,1,0,0,73,73,0,0,40,1
1.8.1.12,4,0,4,100,3270,0,3270,100,318,1
1.8.1.14,2,0,2,100,585,0,585,100,202,1
1.8.1.15,2,0,2,100,2073,0,2073,100,285,1
1.8.1.2,11,8,3,27.27272727,6102,5640,462,7.571288102,316,1
1.8.1.20,3,0,3,100,1359,0,1359,100,274,1
1.8.1.4,137,34,103,75.18248175,67212,44468,22744,33.83919538,351,1
1.8.1.7,15,3,12,80,12649,8837,3812,30.13676971,328,1
1.8.1.8,106,10,96,90.56603774,20935,3797,17138,81.862909,335,1
1.8.1.9,128,13,115,89.84375,56424,28554,27870,49.39387495,351,1
1.8.2.2,17,3,14,82.35294118,1326,669,657,49.54751131,268,1
1.8.2.3,8,0,8,100,2415,0,2415,100,272,1
1.8.2.4,2,0,2,100,937,0,937,100,177,1
1.8.3.1,1,0,1,100,123,0,123,100,71,1
1.8.3.2,50,0,50,100,3399,0,3399,100,205,1
1.8.3.4,6,1,5,83.33333333,3662,890,2772,75.6963408,255,1
1.8.3.7,7,0,7,100,1829,0,1829,100,264,1
1.8.4.10,11,2,9,81.81818182,1683,649,1034,61.4379085,253,1
1.8.4.11,59,10,49,83.05084746,19722,7962,11760,59.62884089,344,1
1.8.4.12,17,7,10,58.82352941,8776,6802,1974,22.49316317,325,1
1.8.4.13,1,0,1,100,679,0,679,100,210,1
1.8.4.14,35,0,35,100,15472,0,15472,100,340,1
1.8.4.2,2,0,2,100,72,0,72,100,59,1
1.8.4.8,4,1,3,75,2473,2150,323,13.06105944,258,1
1.8.4.9,1,0,1,100,3187,0,3187,100,285,1
1.8.5.1,16,0,16,100,2689,0,2689,100,280,1
1.8.5.2,24,0,24,100,1087,0,1087,100,262,1
1.8.5.4,15,0,15,100,1475,0,1475,100,272,1
1.8.5.5,2,0,2,100,104,0,104,100,74,1
1.8.5.6,3,1,2,66.66666667,3312,286,3026,91.3647343,295,1
1.8.5.7,1,0,1,100,214,0,214,100,140,1
1.8.5.8,2,0,2,100,715,0,715,100,230,1
1.8.7.1,24,3,21,87.5,14200,543,13657,96.17605634,340,1
1.8.7.2,1,0,1,100,2,0,2,100,2,1
1.8.7.3,8,0,8,100,762,0,762,100,182,1
1.8.98.1,28,0,28,100,10305,0,10305,100,331,1
1.8.98.2,2,0,2,100,8,0,8,100,8,1
1.8.98.4,3,0,3,100,2816,0,2816,100,224,1
1.8.99.2,4,0,4,100,7570,0,7570,100,321,1
1.8.99.5,3,0,3,100,2531,0,2531,100,239,1
1.9.6.1,2,2,0,0,634,634,0,0,153,1
1.97.1.1,2,0,2,100,27,0,27,100,25,1
1.97.1.12,107,71,36,33.64485981,25975,15526,10449,40.22714148,228,1
1.97.1.4,1,0,1,100,11,0,11,100,11,1
1.97.1.9,14,0,14,100,488,0,488,100,160,1
2.1.1.10,36,0,36,100,8533,0,8533,100,340,2
2.1.1.100,6,0,6,100,523,0,523,100,185,2
2.1.1.103,1,0,1,100,45,0,45,100,38,2
2.1.1.104,1,0,1,100,15,0,15,100,13,2
2.1.1.106,17,0,17,100,2939,0,2939,100,264,2
2.1.1.107,15,2,13,86.66666667,12650,4824,7826,61.86561265,329,2
2.1.1.11,5,0,5,100,2615,0,2615,100,291,2
2.1.1.113,510,4,506,99.21568627,66188,1432,64756,97.83646582,349,2
2.1.1.114,4,0,4,100,2044,0,2044,100,308,2
2.1.1.13,47,24,23,48.93617021,18994,15666,3328,17.52132252,326,2
2.1.1.131,1,0,1,100,337,0,337,100,130,2
2.1.1.132,6,0,6,100,4771,0,4771,100,297,2
2.1.1.133,1,1,0,0,1221,1221,0,0,249,2
2.1.1.137,5,2,3,60,2473,860,1613,65.22442378,249,2
2.1.1.14,8,7,1,12.5,2631,2593,38,1.44431775,286,2
2.1.1.144,1,1,0,0,344,344,0,0,138,2
2.1.1.145,2,0,2,100,77,0,77,100,57,2
2.1.1.148,1664,12,1652,99.27884615,119882,4004,115878,96.66004905,351,2
2.1.1.15,2,0,2,100,135,0,135,100,81,2
2.1.1.151,6,0,6,100,5991,0,5991,100,335,2
2.1.1.152,2,0,2,100,794,0,794,100,235,2
2.1.1.156,2,2,0,0,970,970,0,0,211,2
2.1.1.157,1,0,1,100,44,0,44,100,37,2
2.1.1.163,29,2,27,93.10344828,16883,3165,13718,81.25333175,332,2
2.1.1.166,15,8,7,46.66666667,14726,13585,1141,7.748200462,332,2
2.1.1.167,2,0,2,100,47,0,47,100,31,2
2.1.1.17,8,0,8,100,156,0,156,100,62,2
2.1.1.170,78,15,63,80.76923077,34672,19503,15169,43.75,341,2
2.1.1.171,14,0,14,100,10291,0,10291,100,325,2
2.1.1.172,10,2,8,80,2840,885,1955,68.83802817,281,2
2.1.1.173,5,0,5,100,1091,0,1091,100,255,2
2.1.1.174,16,6,10,62.5,1851,1484,367,19.82712048,266,2
2.1.1.176,32,6,26,81.25,10203,4576,5627,55.15044595,319,2
2.1.1.177,33,9,24,72.72727273,11174,10527,647,5.790227313,323,2
2.1.1.178,5,1,4,80,970,706,264,27.21649485,242,2
2.1.1.179,1,0,1,100,39,0,39,100,24,2
2.1.1.180,4,0,4,100,173,0,173,100,122,2
2.1.1.181,3,3,0,0,923,923,0,0,166,2
2.1.1.182,75,29,46,61.33333333,32358,25034,7324,22.634279,341,2
2.1.1.183,3,1,2,66.66666667,1465,14,1451,99.0443686,287,2
2.1.1.184,21,0,21,100,897,0,897,100,235,2
2.1.1.185,75,6,69,92,32174,11606,20568,63.92739479,342,2
2.1.1.186,7,2,5,71.42857143,1587,769,818,51.54379332,265,2
2.1.1.187,4,0,4,100,1794,0,1794,100,232,2
2.1.1.188,2,0,2,100,58,0,58,100,52,2
2.1.1.189,34,1,33,97.05882353,9840,161,9679,98.36382114,314,2
2.1.1.190,23,10,13,56.52173913,7091,5103,1988,28.03553801,314,2
2.1.1.191,8,0,8,100,3534,0,3534,100,296,2
2.1.1.192,19,17,2,10.52631579,22344,21879,465,2.081095596,329,2
2.1.1.193,137,1,136,99.27007299,39832,3878,35954,90.26410926,347,2
2.1.1.195,11,5,6,54.54545455,8128,6978,1150,14.14862205,322,2
2.1.1.196,21,0,21,100,5863,0,5863,100,307,2
2.1.1.197,41,1,40,97.56097561,7189,208,6981,97.10669078,328,2
2.1.1.198,84,3,81,96.42857143,42844,13291,29553,68.9781533,332,2
2.1.1.199,73,44,29,39.7260274,42801,38257,4544,10.61657438,346,2
2.1.1.2,2,0,2,100,136,0,136,100,61,2
2.1.1.200,26,0,26,100,12401,0,12401,100,329,2
2.1.1.201,1,0,1,100,644,0,644,100,211,2
2.1.1.203,1,0,1,100,82,0,82,100,36,2
2.1.1.204,1,0,1,100,10,0,10,100,10,2
2.1.1.205,6,0,6,100,3411,0,3411,100,305,2
2.1.1.206,3,1,2,66.66666667,3173,1831,1342,42.29435865,283,2
2.1.1.207,22,1,21,95.45454545,9141,4280,4861,53.17798928,332,2
2.1.1.208,13,0,13,100,8045,0,8045,100,308,2
2.1.1.210,1,0,1,100,384,0,384,100,158,2
2.1.1.213,9,0,9,100,1465,0,1465,100,236,2
2.1.1.214,4,0,4,100,136,0,136,100,55,2
2.1.1.216,19,0,19,100,4959,0,4959,100,311,2
2.1.1.217,7,0,7,100,179,0,179,100,111,2
2.1.1.219,3,0,3,100,1092,0,1092,100,183,2
2.1.1.220,12,1,11,91.66666667,6938,2211,4727,68.13202652,322,2
2.1.1.221,11,0,11,100,229,0,229,100,71,2
2.1.1.222,1,0,1,100,18,0,18,100,16,2
2.1.1.223,8,4,4,50,2656,2398,258,9.713855422,236,2
2.1.1.224,5,0,5,100,1514,0,1514,100,232,2
2.1.1.225,13,0,13,100,645,0,645,100,170,2
2.1.1.226,4,0,4,100,3010,0,3010,100,271,2
2.1.1.228,52,37,15,28.84615385,26334,25814,520,1.974633554,341,2
2.1.1.229,1,0,1,100,29,0,29,100,24,2
2.1.1.230,17,0,17,100,1499,0,1499,100,266,2
2.1.1.233,6,0,6,100,134,0,134,100,62,2
2.1.1.242,22,9,13,59.09090909,6222,4496,1726,27.74027644,317,2
2.1.1.250,3,0,3,100,128,0,128,100,70,2
2.1.1.256,29,0,29,100,9353,0,9353,100,324,2
2.1.1.257,7,0,7,100,1660,0,1660,100,270,2
2.1.1.258,3,0,3,100,165,0,165,100,91,2
2.1.1.260,3,0,3,100,1600,0,1600,100,248,2
2.1.1.262,1,0,1,100,84,0,84,100,48,2
2.1.1.264,6,0,6,100,3358,0,3358,100,285,2
2.1.1.266,6,0,6,100,2975,0,2975,100,310,2
2.1.1.268,4,0,4,100,112,0,112,100,53,2
2.1.1.269,92,6,86,93.47826087,36523,6252,30271,82.88201955,353,2
2.1.1.271,2,0,2,100,6096,0,6096,100,339,2
2.1.1.282,3,0,3,100,396,0,396,100,165,2
2.1.1.286,1,0,1,100,13,0,13,100,9,2
2.1.1.287,3,0,3,100,136,0,136,100,83,2
2.1.1.288,2,0,2,100,1862,0,1862,100,256,2
2.1.1.289,7,0,7,100,1694,0,1694,100,195,2
2.1.1.297,112,4,108,96.42857143,44771,5114,39657,88.57742735,346,2
2.1.1.298,4,4,0,0,3721,3721,0,0,305,2
2.1.1.308,1,0,1,100,269,0,269,100,111,2
2.1.1.309,1,0,1,100,132,0,132,100,60,2
2.1.1.310,1,0,1,100,31,0,31,100,26,2
2.1.1.311,2,0,2,100,173,0,173,100,110,2
2.1.1.313,1,0,1,100,11,0,11,100,9,2
2.1.1.314,1,0,1,100,591,0,591,100,200,2
2.1.1.318,254,0,254,100,3639,0,3639,100,293,2
2.1.1.319,8,0,8,100,379,0,379,100,92,2
2.1.1.320,29,0,29,100,5559,0,5559,100,317,2
2.1.1.321,2,0,2,100,76,0,76,100,36,2
2.1.1.329,21,0,21,100,4163,0,4163,100,295,2
2.1.1.33,65,30,35,53.84615385,18664,14000,4664,24.98928418,327,2
2.1.1.332,8,0,8,100,1564,0,1564,100,248,2
2.1.1.334,1,0,1,100,79,0,79,100,61,2
2.1.1.34,27,0,27,100,4177,0,4177,100,328,2
2.1.1.341,1,0,1,100,461,0,461,100,143,2
2.1.1.342,1,0,1,100,16,0,16,100,9,2
2.1.1.344,9,0,9,100,1157,0,1157,100,232,2
2.1.1.346,2,0,2,100,1390,0,1390,100,190,2
2.1.1.35,11,0,11,100,1782,0,1782,100,286,2
2.1.1.354,1,0,1,100,8,0,8,100,6,2
2.1.1.355,27,0,27,100,598,0,598,100,148,2
2.1.1.357,4,0,4,100,155,0,155,100,83,2
2.1.1.359,12,0,12,100,347,0,347,100,75,2
2.1.1.360,3,0,3,100,46,0,46,100,21,2
2.1.1.361,4,0,4,100,187,0,187,100,85,2
2.1.1.362,6,0,6,100,189,0,189,100,73,2
2.1.1.365,1,0,1,100,40,0,40,100,29,2
2.1.1.366,1,0,1,100,17,0,17,100,16,2
2.1.1.369,1,0,1,100,11,0,11,100,11,2
2.1.1.37,451,7,444,98.44789357,55191,2687,52504,95.13145259,340,2
2.1.1.372,4,0,4,100,65,0,65,100,33,2
2.1.1.44,8,1,7,87.5,2737,303,2434,88.92948484,311,2
2.1.1.45,24,22,2,8.333333333,16726,15767,959,5.733588425,333,2
2.1.1.56,127,0,127,100,6643,0,6643,100,314,2
2.1.1.57,38,0,38,100,2921,0,2921,100,216,2
2.1.1.59,24,0,24,100,515,0,515,100,115,2
2.1.1.6,1,0,1,100,32,0,32,100,21,2
2.1.1.60,1,0,1,100,16,0,16,100,9,2
2.1.1.61,50,0,50,100,6606,0,6606,100,317,2
2.1.1.63,63,0,63,100,10706,0,10706,100,324,2
2.1.1.64,7,0,7,100,2852,0,2852,100,302,2
2.1.1.67,7,3,4,57.14285714,2009,431,1578,78.54654057,295,2
2.1.1.71,10,0,10,100,894,0,894,100,207,2
2.1.1.72,863,22,841,97.45075319,83029,12152,70877,85.36414988,349,2
2.1.1.74,5,5,0,0,8138,8138,0,0,318,2
2.1.1.77,48,8,40,83.33333333,18043,13308,4735,26.24286427,328,2
2.1.1.79,14,0,14,100,5709,0,5709,100,327,2
2.1.1.80,34,6,28,82.35294118,6212,2321,3891,62.63683194,311,2
2.1.1.85,11,0,11,100,315,0,315,100,71,2
2.1.1.86,1236,0,1236,100,42505,0,42505,100,351,2
2.1.1.98,7,0,7,100,2790,0,2790,100,276,2
2.1.1.n11,6,0,6,100,2742,0,2742,100,290,2
2.1.1.n8,1,0,1,100,52,0,52,100,34,2
2.1.2.1,83,75,8,9.638554217,43067,42929,138,0.320430956,351,2
2.1.2.10,166,25,141,84.93975904,46138,19084,27054,58.63713208,351,2
2.1.2.11,73,38,35,47.94520548,40088,38596,1492,3.721812014,348,2
2.1.2.14,25,0,25,100,3258,0,3258,100,271,2
2.1.2.2,73,0,73,100,24125,0,24125,100,343,2
2.1.2.3,2,0,2,100,1285,0,1285,100,232,2
2.1.2.5,23,0,23,100,8175,0,8175,100,297,2
2.1.2.8,11,0,11,100,3664,0,3664,100,249,2
2.1.2.9,62,30,32,51.61290323,29277,23095,6182,21.11555146,342,2
2.1.3.1,37,0,37,100,5833,0,5833,100,311,2
2.1.3.10,6,0,6,100,534,0,534,100,193,2
2.1.3.11,1,0,1,100,979,0,979,100,166,2
2.1.3.15,132,92,40,30.3030303,60533,55360,5173,8.545751904,349,2
2.1.3.2,57,51,6,10.52631579,24175,23765,410,1.695966908,348,2
2.1.3.3,23,18,5,21.73913043,10330,9378,952,9.215876089,323,2
2.1.3.9,1,1,0,0,1311,1311,0,0,245,2
2.1.4.2,1,0,1,100,186,0,186,100,81,2
2.1.4.3,1,0,1,100,165,0,165,100,105,2
2.1.5.1,1,0,1,100,477,0,477,100,142,2
2.10.1.1,165,4,161,97.57575758,44845,2248,42597,94.98717806,345,2
2.2.1.1,143,40,103,72.02797203,63325,44668,18657,29.46229767,351,2
2.2.1.12,1,0,1,100,12,0,12,100,12,2
2.2.1.13,5,0,5,100,3673,0,3673,100,286,2
2.2.1.2,56,25,31,55.35714286,22896,19624,3272,14.2907058,341,2
2.2.1.3,2,0,2,100,135,0,135,100,76,2
2.2.1.6,248,34,214,86.29032258,89006,35811,53195,59.76563378,351,2
2.2.1.7,71,66,5,7.042253521,44579,44168,411,0.92195877,349,2
2.2.1.9,23,6,17,73.91304348,6049,2893,3156,52.17391304,306,2
2.3.1.1,44,1,43,97.72727273,5249,138,5111,97.3709278,318,2
2.3.1.101,8,1,7,87.5,362,274,88,24.30939227,173,2
2.3.1.102,1,0,1,100,115,0,115,100,73,2
2.3.1.108,3,0,3,100,106,0,106,100,51,2
2.3.1.117,7,6,1,14.28571429,2630,2621,9,0.342205323,310,2
2.3.1.118,1,0,1,100,32,0,32,100,22,2
2.3.1.12,436,22,414,94.95412844,95487,24984,70503,73.83518175,350,2
2.3.1.122,4,0,4,100,547,0,547,100,96,2
2.3.1.129,85,14,71,83.52941176,33134,20675,12459,37.60185912,340,2
2.3.1.135,2,0,2,100,90,0,90,100,55,2
2.3.1.15,63,18,45,71.42857143,15803,3580,12223,77.34607353,325,2
2.3.1.155,3,0,3,100,445,0,445,100,198,2
2.3.1.156,1,0,1,100,276,0,276,100,159,2
2.3.1.157,6,0,6,100,4422,0,4422,100,318,2
2.3.1.158,6,0,6,100,167,0,167,100,84,2
2.3.1.16,43,12,31,72.09302326,42946,24344,18602,43.31486052,344,2
2.3.1.161,1,0,1,100,82,0,82,100,67,2
2.3.1.164,9,0,9,100,562,0,562,100,229,2
2.3.1.168,14,0,14,100,1789,0,1789,100,299,2
2.3.1.174,1,1,0,0,1614,1614,0,0,294,2
2.3.1.175,1,0,1,100,292,0,292,100,133,2
2.3.1.176,3,0,3,100,3343,0,3343,100,301,2
2.3.1.178,2,0,2,100,106,0,106,100,54,2
2.3.1.179,9,3,6,66.66666667,5078,3199,1879,37.00275699,318,2
2.3.1.180,27,20,7,25.92592593,24155,23201,954,3.949492859,332,2
2.3.1.181,57,30,27,47.36842105,30825,27212,3613,11.72100568,345,2
2.3.1.182,28,0,28,100,18429,0,18429,100,346,2
2.3.1.183,5,0,5,100,547,0,547,100,211,2
2.3.1.184,15,1,14,93.33333333,864,23,841,97.33796296,220,2
2.3.1.187,1,0,1,100,52,0,52,100,36,2
2.3.1.189,2,0,2,100,1059,0,1059,100,237,2
2.3.1.19,2,0,2,100,1554,0,1554,100,243,2
2.3.1.191,84,33,51,60.71428571,22673,16208,6465,28.51409165,344,2
2.3.1.193,20,0,20,100,1989,0,1989,100,260,2
2.3.1.197,10,0,10,100,437,0,437,100,162,2
2.3.1.199,6,0,6,100,285,0,285,100,78,2
2.3.1.20,52,1,51,98.07692308,5839,25,5814,99.57184449,266,2
2.3.1.201,3,2,1,33.33333333,1556,1109,447,28.72750643,229,2
2.3.1.202,8,0,8,100,1865,0,1865,100,262,2
2.3.1.203,28,0,28,100,4077,0,4077,100,270,2
2.3.1.204,2,0,2,100,107,0,107,100,95,2
2.3.1.207,1,1,0,0,3822,3822,0,0,319,2
2.3.1.209,3,0,3,100,12,0,12,100,12,2
2.3.1.22,1,0,1,100,11,0,11,100,11,2
2.3.1.222,1,0,1,100,39,0,39,100,32,2
2.3.1.225,78,0,78,100,1514,0,1514,100,108,2
2.3.1.226,10,0,10,100,1162,0,1162,100,279,2
2.3.1.227,3,0,3,100,587,0,587,100,157,2
2.3.1.229,1,0,1,100,72,0,72,100,53,2
2.3.1.23,7,0,7,100,90,0,90,100,55,2
2.3.1.233,1,0,1,100,507,0,507,100,205,2
2.3.1.234,77,58,19,24.67532468,48954,47118,1836,3.750459615,352,2
2.3.1.238,2,0,2,100,540,0,540,100,179,2
2.3.1.24,10,0,10,100,281,0,281,100,81,2
2.3.1.241,14,0,14,100,4368,0,4368,100,323,2
2.3.1.242,2,0,2,100,97,0,97,100,78,2
2.3.1.243,4,0,4,100,167,0,167,100,84,2
2.3.1.245,3,0,3,100,5191,0,5191,100,275,2
2.3.1.246,1,0,1,100,211,0,211,100,126,2
2.3.1.247,3,0,3,100,2805,0,2805,100,317,2
2.3.1.250,1,0,1,100,24,0,24,100,23,2
2.3.1.251,13,0,13,100,589,0,589,100,229,2
2.3.1.253,3,0,3,100,670,0,670,100,232,2
2.3.1.255,4,0,4,100,1222,0,1222,100,285,2
2.3.1.257,2,0,2,100,52,0,52,100,31,2
2.3.1.258,3,0,3,100,531,0,531,100,172,2
2.3.1.262,3,0,3,100,711,0,711,100,230,2
2.3.1.263,3,0,3,100,211,0,211,100,98,2
2.3.1.264,1,0,1,100,94,0,94,100,65,2
2.3.1.265,4,1,3,75,1227,160,1067,86.9600652,218,2
2.3.1.266,14,0,14,100,2198,0,2198,100,295,2
2.3.1.267,5,0,5,100,1118,0,1118,100,254,2
2.3.1.268,7,0,7,100,3382,0,3382,100,279,2
2.3.1.269,269,22,247,91.82156134,64699,10852,53847,83.22694323,347,2
2.3.1.270,34,0,34,100,13546,0,13546,100,328,2
2.3.1.273,8,1,7,87.5,321,98,223,69.47040498,154,2
